antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'beer', 'frozenmeal'})","frozenset({'Unnamed: 18', 'cannedveg'})",0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'beer', 'cannedveg'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
"frozenset({'frozenmeal', 'cannedveg'})","frozenset({'Unnamed: 18', 'beer'})",0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
frozenset({'beer'}),"frozenset({'Unnamed: 18', 'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
frozenset({'frozenmeal'}),"frozenset({'Unnamed: 18', 'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
frozenset({'cannedveg'}),"frozenset({'Unnamed: 18', 'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
"frozenset({'All_three', 'beer', 'frozenmeal'})",frozenset({'cannedveg'}),0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'All_three', 'beer', 'cannedveg'})",frozenset({'frozenmeal'}),0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
"frozenset({'All_three', 'frozenmeal', 'cannedveg'})",frozenset({'beer'}),0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
"frozenset({'All_three', 'beer'})","frozenset({'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
"frozenset({'All_three', 'frozenmeal'})","frozenset({'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
